problem,intervals,method,error_pct,method_ms,cg,cg_error_pct,cg_ms,speedup,job_id,source,error_definition,note,method_outliers,cg_outliers,method_median_error_pct
Poisson2D,256,q0_m4@new_K32,3.1567468474549267,6.7030745558440685,cg_0.01,0.15274307683271274,22.289779037237167,3.3253067456640246,3780692,worktrees/2026-09-17-p-linear/experiments/p-linear/reports/summary.json,"Worst current-relative L2 versus the same-grid reference, steady state.",Current bank/head development experiment. Unpreconditioned CG on the full finite-difference grid; constant-diagonal Jacobi is only a scalar rescaling. The direct linear endpoint is a separate method.,,,0.5079778437194058
Poisson2D,256,q256_m4@new_K32,0.968850419215881,7.121342001482844,cg_0.01,0.15274307683271274,22.289779037237167,3.1299969911002545,3780692,worktrees/2026-09-17-p-linear/experiments/p-linear/reports/summary.json,"Worst current-relative L2 versus the same-grid reference, steady state.",Current bank/head development experiment. Unpreconditioned CG on the full finite-difference grid; constant-diagonal Jacobi is only a scalar rescaling. The direct linear endpoint is a separate method.,,,0.13149155334116172
Poisson2D,256,d_linear_qr_m4@new_K32,0.7458632302014631,1.692837686277926,cg_0.01,0.15274307683271274,22.289779037237167,13.167109415106491,3780692,worktrees/2026-09-17-p-linear/experiments/p-linear/reports/summary.json,"Worst current-relative L2 versus the same-grid reference, steady state.",Current bank/head development experiment. Unpreconditioned CG on the full finite-difference grid; constant-diagonal Jacobi is only a scalar rescaling. The direct linear endpoint is a separate method.,,,0.05803777706543484
Poisson2D,1024,q0_m4@new_K32,3.1495039123511046,3.9406470023095608,cg_0.01,0.07220757966955461,60.017009382136166,15.230242482252532,3783813,worktrees/2026-09-17-p-linear/experiments/p-linear/reports/summary.json,"Worst current-relative L2 versus the same-grid reference, steady state.",Current bank/head development experiment. Unpreconditioned CG on the full finite-difference grid; constant-diagonal Jacobi is only a scalar rescaling. The direct linear endpoint is a separate method.,,,0.5078711116881901
Poisson2D,1024,q256_m4@new_K32,0.9647906290076345,4.318764549680054,cg_0.01,0.07220757966955461,60.017009382136166,13.89680050665934,3783813,worktrees/2026-09-17-p-linear/experiments/p-linear/reports/summary.json,"Worst current-relative L2 versus the same-grid reference, steady state.",Current bank/head development experiment. Unpreconditioned CG on the full finite-difference grid; constant-diagonal Jacobi is only a scalar rescaling. The direct linear endpoint is a separate method.,,,0.13145967682309628
Poisson2D,1024,d_linear_qr_m4@new_K32,0.7421302120898828,1.8299876246601343,cg_0.01,0.07220757966955461,60.017009382136166,32.79640177527569,3783813,worktrees/2026-09-17-p-linear/experiments/p-linear/reports/summary.json,"Worst current-relative L2 versus the same-grid reference, steady state.",Current bank/head development experiment. Unpreconditioned CG on the full finite-difference grid; constant-diagonal Jacobi is only a scalar rescaling. The direct linear endpoint is a separate method.,,,0.058011197306195784
Reflective wave2D,64,head_q0,6.3109368543901825,184.53511595726013,cgdt_0.005_tol_0.01,2.7812399999157296,41.89361853059381,0.2270224738162937,3780447,worktrees/2026-09-17-w-ladder/experiments/w-ladder/reports/summary.json,Worst current-relative displacement L2. Velocity and energy are separate metrics.,Development. CG solves the full-grid implicit-midpoint system. Candidates include the retained tolerance/time-step ladder and must pass the full-state gate. These NM-ROM configurations still fail their full-state accuracy gate.,,,
Reflective wave2D,64,nested_q32,2.6815444662251133,2500.0600916100666,cgdt_0.005_tol_1e-06,1.5967435348072396,69.37372707761824,0.027748823842446438,3780447,worktrees/2026-09-17-w-ladder/experiments/w-ladder/reports/summary.json,Worst current-relative displacement L2. Velocity and energy are separate metrics.,Development. CG solves the full-grid implicit-midpoint system. Candidates include the retained tolerance/time-step ladder and must pass the full-state gate. These NM-ROM configurations still fail their full-state accuracy gate.,,,
Reflective wave2D,64,linear_bank64,2.691334696048529,1.1684884084388614,cgdt_0.005_tol_1e-06,1.5967435348072396,69.37372707761824,59.370488039589375,3780447,worktrees/2026-09-17-w-ladder/experiments/w-ladder/reports/summary.json,Worst current-relative displacement L2. Velocity and energy are separate metrics.,Development. CG solves the full-grid implicit-midpoint system. Candidates include the retained tolerance/time-step ladder and must pass the full-state gate. These NM-ROM configurations still fail their full-state accuracy gate.,,,
Reflective wave2D,256,head_q0,6.1035244110173625,183.51554742548615,cg_1e-06,0.40078308785751565,142.51105801668018,0.7765612233728848,3783805,worktrees/2026-09-17-w-ladder/experiments/w-ladder/reports/summary.json,Worst current-relative displacement L2. Velocity and energy are separate metrics.,Development. CG solves the full-grid implicit-midpoint system. Candidates include the retained tolerance/time-step ladder and must pass the full-state gate. These NM-ROM configurations still fail their full-state accuracy gate.,,,
